lambda,offset,r,oos
0.0,1,0.01,0.016960119518173028
0.0,1,0.02,0.016785092954928915
0.0,1,0.03,0.016721068147913697
0.0,1,0.04,0.016678191444975336
0.0,1,0.05,0.016605294185620886
0.0,1,0.060000000000000005,0.016555232541625005
0.0,1,0.06999999999999999,0.016495915371387063
0.0,1,0.08,0.01642477873346517
0.0,1,0.09,0.01638499156654047
0.0,1,0.09999999999999999,0.01635680506742548
0.0,1,0.11,0.01624597390037496
0.0,1,0.12,0.016174256659743917
0.0,1,0.13,0.016112471342637543
0.0,1,0.14,0.016063522287719498
0.0,2,0.01,0.009038598331327878
0.0,2,0.02,0.00916935771486201
0.0,2,0.03,0.009294279133836101
0.0,2,0.04,0.009400359623149338
0.0,2,0.05,0.009552373339805468
0.0,2,0.060000000000000005,0.009675866554603858
0.0,2,0.06999999999999999,0.009790450260794278
0.0,2,0.08,0.009920162009209928
0.0,2,0.09,0.01004646266776729
0.0,2,0.09999999999999999,0.010170852429077037
0.0,2,0.11,0.010280942132782456
0.0,2,0.12,0.010380599049384017
0.0,2,0.13,0.010501307159127733
0.0,2,0.14,0.01061253289139516
0.0,3,0.01,0.008622064957579001
0.0,3,0.02,0.0087319697767809
0.0,3,0.03,0.0088568179125625
0.0,3,0.04,0.008960858578840936
0.0,3,0.05,0.009044058999137993
0.0,3,0.060000000000000005,0.009150616381874225
0.0,3,0.06999999999999999,0.009283370882747914
0.0,3,0.08,0.009368744601068542
0.0,3,0.09,0.009470231980175063
0.0,3,0.09999999999999999,0.009585988800651115
0.0,3,0.11,0.009695881376557192
0.0,3,0.12,0.009770982715212272
0.0,3,0.13,0.009903236168447209
0.0,3,0.14,0.00995408158180425
0.0,4,0.01,0.008628544434793984
0.0,4,0.02,0.0087319697767809
0.0,4,0.03,0.008842642817382996
0.0,4,0.04,0.008960858578840936
0.0,4,0.05,0.009055387692505861
0.0,4,0.060000000000000005,0.00915976017953309
0.0,4,0.06999999999999999,0.009261396035751216
0.0,4,0.08,0.009368744601068542
0.0,4,0.09,0.009470231980175063
0.0,4,0.09999999999999999,0.009572464381035472
0.0,4,0.11,0.009700979150342735
0.0,4,0.12,0.009770982715212272
0.0,4,0.13,0.009903236168447209
0.0,4,0.14,0.00995408158180425
0.0,5,0.01,0.008622064957579001
0.0,5,0.02,0.0087319697767809
0.0,5,0.03,0.0088568179125625
0.0,5,0.04,0.008960858578840936
0.0,5,0.05,0.009055387692505861
0.0,5,0.060000000000000005,0.00915976017953309
0.0,5,0.06999999999999999,0.009283370882747914
0.0,5,0.08,0.00936392688409304
0.0,5,0.09,0.009491705649886526
0.0,5,0.09999999999999999,0.009585988800651115
0.0,5,0.11,0.009700979150342735
0.0,5,0.12,0.009786121258552294
0.0,5,0.13,0.009903236168447209
0.0,5,0.14,0.009991061470305223
0.0,6,0.01,0.002808136954242387
0.0,6,0.02,0.002717491306795672
0.0,6,0.03,0.002685467632357528
0.0,6,0.04,0.0025754815534686755
0.0,6,0.05,0.0024985383315596402
0.0,6,0.060000000000000005,0.0024386238151973315
0.0,6,0.06999999999999999,0.002365560151745431
0.0,6,0.08,0.0023001719832368376
0.0,6,0.09,0.002236666242304305
0.0,6,0.09999999999999999,0.0021739282267272957
0.0,6,0.11,0.0021313191846416687
0.0,6,0.12,0.002075277242125969
0.0,6,0.13,0.002044719575082142
0.0,6,0.14,0.0020073850713688644
0.0,7,0.01,0.006067712200561677
0.0,7,0.02,0.005713724859647247
0.0,7,0.03,0.0053246845571781505
0.0,7,0.04,0.004965601174764468
0.0,7,0.05,0.0045894841588535965
0.0,7,0.060000000000000005,0.004267891695561247
0.0,7,0.06999999999999999,0.0038951120234326253
